murmur3/32	djb2/32	jenkins1/32	kr/32	lookup3/32	spooky2/32	sdbm/32	xor/32
3763	3684	3630	3626	3774	3622	3838	4537
3415	3621	3616	3783	3634	3757	3893	6579
3565	3699	3632	3668	3684	3738	3709	7680
3593	3704	3672	3661	3793	3644	3784	6745
3561	3758	3659	3650	3721	3635	3646	5040
3887	3639	3729	3653	3634	3647	3725	5367
3795	3732	3735	3791	3683	3790	3628	7248
3934	3740	3766	3727	3775	3544	3590	6895
3854	3717	3689	3666	3750	3609	3586	3224
3669	3667	3676	3551	3605	3699	3575	4065
3766	3655	3675	3666	3607	3697	3468	4202
3994	3789	3653	3731	3683	3757	3469	3692
3815	3669	3714	3603	3750	3686	3561	5597
3540	3679	3755	3686	3646	3737	3420	6557
3960	3596	3717	3608	3777	3733	3379	3454
3916	3691	3655	3696	3627	3612	3405	3247
3816	3757	3797	3578	3596	3637	3416	4724
3500	3699	3712	3800	3701	3707	3335	8279
3629	3669	3682	3610	3587	3707	3349	3572
3853	3553	3707	3603	3715	3726	3211	4619
3483	3680	3630	3629	3590	3723	3436	3698
3590	3594	3707	3736	3681	3672	3342	7256
3612	3668	3675	3732	3766	3766	3442	5402
3859	3635	3651	3769	3632	3654	3333	5393
3911	3729	3698	3764	3714	3615	3357	3210
3769	3679	3646	3601	3811	3708	3242	3695
3686	3713	3652	3698	3716	3715	3462	4820
3791	3660	3680	3744	3696	3587	3448	5579
3746	3670	3746	3634	3734	3648	3478	4980
3930	3763	3745	3738	3769	3714	3440	5050
3260	3553	3673	3716	3633	3632	3396	3488
3469	3632	3764	3774	3709	3779	3538	5145
3160	3753	3657	3729	3696	3682	3493	466
3699	3681	3687	3647	3706	3699	3545	4246
3833	3669	3668	3811	3626	3650	3668	3555
3491	3706	3563	3628	3602	3593	3618	5082
3612	3709	3627	3708	3777	3718	3702	3265
3507	3716	3734	3607	3727	3675	3833	2581
3613	3698	3632	3814	3761	3631	3781	2595
3583	3739	3652	3602	3602	3644	3785	2096
3283	3572	3708	3739	3632	3723	3770	2484
3552	3691	3734	3641	3666	3643	3807	2651
3897	3605	3638	3759	3792	3658	3755	881
3780	3816	3724	3691	3685	3631	3843	1076
3815	3660	3797	3796	3701	3672	3843	2191
3693	3726	3728	3634	3740	3698	3958	3633
3656	3596	3590	3603	3671	3726	3952	1989
3790	3734	3716	3638	3609	3761	3935	2528
4203	3665	3636	3648	3660	3649	3913	5851
3627	3700	3712	3624	3695	3785	4049	1207
3918	3651	3846	3740	3592	3740	4046	2765
4031	3658	3639	3798	3721	3670	3941	6393
3680	3654	3729	3789	3654	3618	4055	3172
3661	3632	3641	3682	3646	3816	4028	4884
3365	3756	3660	3778	3753	3653	4154	1352
3841	3715	3664	3559	3626	3724	3910	1470
3895	3672	3632	3735	3717	3746	4100	485
3498	3739	3651	3617	3607	3692	3988	652
3277	3705	3672	3599	3762	3684	4037	755
3610	3850	3608	3693	3759	3631	3874	509
3299	3658	3647	3668	3672	3781	3928	622
3714	3736	3658	3630	3709	3511	3927	472
3478	3665	3792	3694	3575	3769	3901	356
3894	3665	3706	3693	3552	3716	3846	583
