murmur3/32	djb2/32	jenkins1/32	kr/32	lookup3/32	spooky2/32	sdbm/32	xor/32
15767	15750	15679	15386	15695	15441	15627	9938
14510	15447	15669	15276	15569	15629	15562	12366
17178	15907	15556	15643	15562	15476	15552	18247
16075	15663	15492	15603	15718	15756	15442	10534
15857	15560	15499	15754	15702	15568	15432	15265
15563	15608	15550	15796	15787	15513	15634	12722
15326	15582	15682	15526	15546	15435	15713	10149
14825	15776	15661	15706	15632	15582	15741	12284
15928	15775	15720	15764	15763	15657	15649	12760
15030	15830	15638	15372	15740	15643	15652	11392
15262	15724	15464	15555	15653	15508	15570	11855
15904	15643	15636	15721	15579	15624	15424	19706
16050	15642	15695	15345	15743	15641	15540	11742
15852	15752	15664	15509	15615	15696	15745	12201
15867	15424	15648	15689	15830	15418	15700	12996
15915	15602	15653	15417	15677	15580	15672	13529
15885	15669	15645	15635	15733	15626	15490	12512
16139	15460	15599	15718	15528	15600	15904	11807
15844	15565	15668	15459	15850	15587	15657	14526
15194	15769	15842	15495	15442	15702	15510	12745
15537	15658	15860	15681	15473	15615	15532	11124
16380	15587	15541	15765	15489	15627	15657	11584
15312	15780	15479	15590	15313	15604	15742	15576
16097	15423	15490	15480	15670	15668	15636	13433
15164	15433	15589	15510	15628	15845	15670	13430
15226	15511	15773	15724	15696	15559	15881	18348
15255	15628	15585	15648	15769	15635	15520	17668
16364	15678	15623	15645	15619	15628	15571	13910
15159	15632	15594	15650	15610	15600	15659	17022
15732	15748	15340	15838	15667	15645	15531	14642
15886	15619	15750	15577	15578	15571	15687	14058
14985	15525	15701	15685	15498	15758	15501	16074
15272	15691	15625	15708	15654	15521	15730	17975
15658	15755	15524	15817	15465	15655	15536	17397
15054	15411	15563	15769	15505	15734	15431	18950
15557	15669	15749	15733	15555	15560	15755	18451
15508	15480	15789	15724	15483	15465	15593	20635
15534	15486	15567	15727	15634	15707	15646	22796
15176	15511	15584	15697	15730	15667	15748	18491
15458	15636	15483	15686	15445	15810	15743	18123
15985	15561	15491	15698	15468	15722	15471	18190
15560	15648	15489	15774	15562	15758	15614	17824
17000	15799	15644	15718	15715	15650	15778	20086
15053	15580	15524	15718	15718	15793	15691	19254
15372	15750	15599	15288	15775	15723	15764	17550
15281	15710	15612	15738	15586	15772	15407	19921
15333	15722	15604	15767	15733	15751	15650	17975
16531	15671	15559	15813	15675	15513	15525	16826
15177	15770	15533	15675	15497	15672	15645	17872
15674	15173	15608	15794	15579	15846	15698	17001
15341	15682	15694	15491	15576	15548	15798	17710
15389	15687	15790	15525	15461	15714	15460	15213
15512	15572	15477	15496	15566	15581	15430	14641
15755	15723	15818	15584	15561	15693	15716	15819
16049	15732	15714	15667	15668	15443	15526	16379
14942	15527	15710	15624	15619	15629	15815	16768
14936	15587	15697	15717	15254	15589	15688	18471
15837	15666	15568	15473	15495	15466	15635	16317
15327	15721	15518	15479	15696	15690	15475	15845
16594	15579	15798	15796	15734	15402	15529	15865
16286	15472	15545	15552	15737	15712	15513	17193
15931	15479	15556	15480	15793	15776	15996	15582
15583	15578	15783	15755	15773	15466	15633	16942
15267	15602	15800	15355	15914	15535	15558	15793
