murmur3/32	djb2/32	fnv1a/32	jenkins1/32	kr/32	lookup3/32	spooky2/32	sdbm/32	xor/32
3763	3684	3637	3630	3626	3774	3672	3838	4537
3415	3621	3619	3616	3783	3634	3713	3893	6579
3565	3699	3649	3632	3668	3684	3749	3709	7680
3593	3704	3661	3672	3661	3793	3756	3784	6745
3561	3758	3680	3659	3650	3721	3783	3646	5040
3887	3639	3748	3729	3653	3634	3671	3725	5367
3795	3732	3683	3735	3791	3683	3741	3628	7248
3934	3740	3688	3766	3727	3775	3630	3590	6895
3854	3717	3573	3689	3666	3750	3614	3586	3224
3669	3667	3757	3676	3551	3605	3721	3575	4065
3766	3655	3688	3675	3666	3607	3523	3468	4202
3994	3789	3737	3653	3731	3683	3739	3469	3692
3815	3669	3761	3714	3603	3750	3610	3561	5597
3540	3679	3757	3755	3686	3646	3710	3420	6557
3960	3596	3697	3717	3608	3777	3621	3379	3454
3916	3691	3756	3655	3696	3627	3759	3405	3247
3816	3757	3742	3797	3578	3596	3696	3416	4724
3500	3699	3528	3712	3800	3701	3659	3335	8279
3629	3669	3614	3682	3610	3587	3764	3349	3572
3853	3553	3650	3707	3603	3715	3699	3211	4619
3483	3680	3725	3630	3629	3590	3614	3436	3698
3590	3594	3746	3707	3736	3681	3707	3342	7256
3612	3668	3728	3675	3732	3766	3710	3442	5402
3859	3635	3676	3651	3769	3632	3686	3333	5393
3911	3729	3640	3698	3764	3714	3611	3357	3210
3769	3679	3741	3646	3601	3811	3760	3242	3695
3686	3713	3714	3652	3698	3716	3700	3462	4820
3791	3660	3772	3680	3744	3696	3635	3448	5579
3746	3670	3578	3746	3634	3734	3743	3478	4980
3930	3763	3729	3745	3738	3769	3520	3440	5050
3260	3553	3622	3673	3716	3633	3621	3396	3488
3469	3632	3739	3764	3774	3709	3626	3538	5145
3160	3753	3699	3657	3729	3696	3676	3493	466
3699	3681	3703	3687	3647	3706	3726	3545	4246
3833	3669	3693	3668	3811	3626	3639	3668	3555
3491	3706	3784	3563	3628	3602	3716	3618	5082
3612	3709	3698	3627	3708	3777	3719	3702	3265
3507	3716	3758	3734	3607	3727	3777	3833	2581
3613	3698	3690	3632	3814	3761	3719	3781	2595
3583	3739	3674	3652	3602	3602	3647	3785	2096
3283	3572	3650	3708	3739	3632	3745	3770	2484
3552	3691	3700	3734	3641	3666	3778	3807	2651
3897	3605	3674	3638	3759	3792	3714	3755	881
3780	3816	3625	3724	3691	3685	3646	3843	1076
3815	3660	3690	3797	3796	3701	3674	3843	2191
3693	3726	3644	3728	3634	3740	3647	3958	3633
3656	3596	3660	3590	3603	3671	3703	3952	1989
3790	3734	3733	3716	3638	3609	3708	3935	2528
4203	3665	3670	3636	3648	3660	3771	3913	5851
3627	3700	3619	3712	3624	3695	3750	4049	1207
3918	3651	3777	3846	3740	3592	3702	4046	2765
4031	3658	3677	3639	3798	3721	3818	3941	6393
3680	3654	3652	3729	3789	3654	3662	4055	3172
3661	3632	3777	3641	3682	3646	3693	4028	4884
3365	3756	3716	3660	3778	3753	3663	4154	1352
3841	3715	3683	3664	3559	3626	3638	3910	1470
3895	3672	3631	3632	3735	3717	3634	4100	485
3498	3739	3556	3651	3617	3607	3639	3988	652
3277	3705	3694	3672	3599	3762	3676	4037	755
3610	3850	3607	3608	3693	3759	3640	3874	509
3299	3658	3633	3647	3668	3672	3621	3928	622
3714	3736	3674	3658	3630	3709	3744	3927	472
3478	3665	3679	3792	3694	3575	3646	3901	356
3894	3665	3731	3706	3693	3552	3592	3846	583
